ORF	Gene	term
YMR024W	MRPL3	mitochondrial translation
YMR097C	MTG1	mitochondrial translation
YMR158W	MRPS8	mitochondrial translation
YMR188C	MRPS17	mitochondrial translation
YMR193W	MRPL24	mitochondrial translation
YMR225C	MRPL44	mitochondrial translation
YMR257C	PET111	mitochondrial translation
YMR282C	AEP2	mitochondrial translation
YMR286W	MRPL33	mitochondrial translation
YNL005C	MRP7	mitochondrial translation
YNL073W	MSK1	mitochondrial translation
YNL081C	SWS2	mitochondrial translation
YNL122C	YNL122C	mitochondrial translation
YNL137C	NAM9	mitochondrial translation
YNL177C	MRPL22	mitochondrial translation
YNL185C	MRPL19	mitochondrial translation
YNL252C	MRPL17	mitochondrial translation
YNL284C	MRPL10	mitochondrial translation
YNL306W	MRPS18	mitochondrial translation
YNR022C	MRPL50	mitochondrial translation
YNR036C	MRPS12	mitochondrial translation
YNR037C	RSM19	mitochondrial translation
YNR045W	PET494	mitochondrial translation
YOL023W	IFM1	mitochondrial translation
YOL027C	MDM38	mitochondrial translation
YOL033W	MSE1	mitochondrial translation
YOL114C	PTH4	mitochondrial translation
YOR150W	MRPL23	mitochondrial translation
YOR158W	PET123	mitochondrial translation
YOR187W	TUF1	mitochondrial translation
YOR335C	ALA1	mitochondrial translation
YPL005W	AEP3	mitochondrial translation
YPL013C	MRPS16	mitochondrial translation
YPL040C	ISM1	mitochondrial translation
YPL097W	MSY1	mitochondrial translation
YPL104W	MSD1	mitochondrial translation
YPL118W	MRP51	mitochondrial translation
YPL173W	MRPL40	mitochondrial translation
YPL183W-A	RTC6	mitochondrial translation
YPL215W	CBP3	mitochondrial translation
YPR033C	HTS1	mitochondrial translation
YPR047W	MSF1	mitochondrial translation
YPR100W	MRPL51	mitochondrial translation
YPR166C	MRP2	mitochondrial translation
tA(UGC)Q	tA(UGC)Q	mitochondrial translation
tC(GCA)Q	tC(GCA)Q	mitochondrial translation
tD(GUC)Q	tD(GUC)Q	mitochondrial translation
tE(UUC)Q	tE(UUC)Q	mitochondrial translation
tF(GAA)Q	tF(GAA)Q	mitochondrial translation
tG(UCC)Q	tG(UCC)Q	mitochondrial translation
tH(GUG)Q	tH(GUG)Q	mitochondrial translation
tI(GAU)Q	tI(GAU)Q	mitochondrial translation
tK(CUU)C	tK(CUU)C	mitochondrial translation
tK(CUU)D1	tK(CUU)D1	mitochondrial translation
tK(CUU)D2	tK(CUU)D2	mitochondrial translation
tK(CUU)E1	tK(CUU)E1	mitochondrial translation
tK(CUU)E2	tK(CUU)E2	mitochondrial translation
tK(CUU)F	tK(CUU)F	mitochondrial translation
tK(CUU)G1	tK(CUU)G1	mitochondrial translation
tK(CUU)G2	tK(CUU)G2	mitochondrial translation
tK(CUU)G3	tK(CUU)G3	mitochondrial translation
tK(CUU)I	tK(CUU)I	mitochondrial translation
tK(CUU)J	tK(CUU)J	mitochondrial translation
tK(CUU)K	tK(CUU)K	mitochondrial translation
tK(CUU)M	tK(CUU)M	mitochondrial translation
tK(CUU)P	tK(CUU)P	mitochondrial translation
tK(UUU)Q	tK(UUU)Q	mitochondrial translation
tL(UAA)Q	tL(UAA)Q	mitochondrial translation
tM(CAU)Q1	tM(CAU)Q1	mitochondrial translation
tM(CAU)Q2	tM(CAU)Q2	mitochondrial translation
tN(GUU)Q	tN(GUU)Q	mitochondrial translation
tP(UGG)Q	tP(UGG)Q	mitochondrial translation
tQ(CUG)M	CDC65	mitochondrial translation
tQ(UUG)Q	tQ(UUG)Q	mitochondrial translation
tR(ACG)Q2	tR(ACG)Q2	mitochondrial translation
tR(UCU)Q1	tR(UCU)Q1	mitochondrial translation
tS(GCU)Q1	tS(GCU)Q1	mitochondrial translation
tS(UGA)Q2	tS(UGA)Q2	mitochondrial translation
tT(UAG)Q2	tT(UAG)Q2	mitochondrial translation
tT(UGU)Q1	tT(UGU)Q1	mitochondrial translation
tV(UAC)Q	tV(UAC)Q	mitochondrial translation
tW(UCA)Q	tW(UCA)Q	mitochondrial translation
tY(GUA)Q	tY(GUA)Q	mitochondrial translation
Q0020	15S_RRNA	mitochondrion organization
Q0140	VAR1	mitochondrion organization
Q0158	21S_RRNA	mitochondrion organization
YAL005C	SSA1	mitochondrion organization
YAL008W	FUN14	mitochondrion organization
YAL010C	MDM10	mitochondrion organization
YAL015C	NTG1	mitochondrion organization
YAL048C	GEM1	mitochondrion organization
YBL038W	MRPL16	mitochondrion organization
YBL059C-A	CMC2	mitochondrion organization
YBL078C	ATG8	mitochondrion organization
YBL080C	PET112	mitochondrion organization
YBL090W	MRP21	mitochondrion organization
YBL103C	RTG3	mitochondrion organization
YBR044C	TCM62	mitochondrion organization
YBR091C	TIM12	mitochondrion organization
YBR120C	CBP6	mitochondrion organization
YBR121C	GRS1	mitochondrion organization
YBR122C	MRPL36	mitochondrion organization
YBR146W	MRPS9	mitochondrion organization
YBR163W	EXO5	mitochondrion organization
YBR179C	FZO1	mitochondrion organization
YBR185C	MBA1	mitochondrion organization
YBR192W	RIM2	mitochondrion organization
YBR212W	NGR1	mitochondrion organization
YBR217W	ATG12	mitochondrion organization
YBR227C	MCX1	mitochondrion organization
YBR230C	OM14	mitochondrion organization
YBR251W	MRPS5	mitochondrion organization
YBR262C	MIC12	mitochondrion organization
YBR268W	MRPL37	mitochondrion organization
YBR269C	SDH8	mitochondrion organization
YBR282W	MRPL27	mitochondrion organization
YCL017C	NFS1	mitochondrion organization
YCL057C-A	MIC10	mitochondrion organization
YCR003W	MRPL32	mitochondrion organization
YCR024C	SLM5	mitochondrion organization
YCR028C-A	RIM1	mitochondrion organization
YCR046C	IMG1	mitochondrion organization
YCR065W	HCM1	mitochondrion organization
YCR071C	IMG2	mitochondrion organization
YCR079W	PTC6	mitochondrion organization
YDL006W	PTC1	mitochondrion organization
YDL029W	ARP2	mitochondrion organization
YDL033C	SLM3	mitochondrion organization
YDL045W-A	MRP10	mitochondrion organization
YDL069C	CBS1	mitochondrion organization
YDL104C	QRI7	mitochondrion organization
YDL107W	MSS2	mitochondrion organization
YDL113C	ATG20	mitochondrion organization
YDL142C	CRD1	mitochondrion organization
YDL149W	ATG9	mitochondrion organization
YDL198C	GGC1	mitochondrion organization
YDL202W	MRPL11	mitochondrion organization
YDL217C	TIM22	mitochondrion organization
YDL239C	ADY3	mitochondrion organization
YDR022C	ATG31	mitochondrion organization
YDR041W	RSM10	mitochondrion organization
YDR065W	RRG1	mitochondrion organization
YDR077W	SED1	mitochondrion organization
YDR079W	PET100	mitochondrion organization
YDR115W	MRX14	mitochondrion organization
YDR116C	MRPL1	mitochondrion organization
YDR148C	KGD2	mitochondrion organization
YDR150W	NUM1	mitochondrion organization
YDR175C	RSM24	mitochondrion organization
YDR185C	UPS3	mitochondrion organization
YDR197W	CBS2	mitochondrion organization
YDR219C	MFB1	mitochondrion organization
YDR231C	COX20	mitochondrion organization
YDR237W	MRPL7	mitochondrion organization
YDR258C	HSP78	mitochondrion organization
YDR268W	MSW1	mitochondrion organization
YDR296W	MHR1	mitochondrion organization
YDR322C-A	TIM11	mitochondrion organization
YDR322W	MRPL35	mitochondrion organization
YDR332W	IRC3	mitochondrion organization
YDR337W	MRPS28	mitochondrion organization
YDR347W	MRP1	mitochondrion organization
YDR350C	ATP22	mitochondrion organization
YDR375C	BCS1	mitochondrion organization
YDR379C-A	SDH6	mitochondrion organization
YDR393W	SHE9	mitochondrion organization
YDR405W	MRP20	mitochondrion organization
YDR462W	MRPL28	mitochondrion organization
YDR470C	UGO1	mitochondrion organization
YDR493W	MZM1	mitochondrion organization
YDR494W	RSM28	mitochondrion organization
YDR511W	SDH7	mitochondrion organization
YDR512C	EMI1	mitochondrion organization
YDR529C	QCR7	mitochondrion organization
YEL020W-A	TIM9	mitochondrion organization
YEL030W	ECM10	mitochondrion organization
YEL050C	RML2	mitochondrion organization
YEL059C-A	SOM1	mitochondrion organization
YER017C	AFG3	mitochondrion organization
YER050C	RSM18	mitochondrion organization
YER058W	PET117	mitochondrion organization
YER125W	RSP5	mitochondrion organization
YER153C	PET122	mitochondrion organization
YER154W	OXA1	mitochondrion organization
YFL016C	MDJ1	mitochondrion organization
YFL036W	RPO41	mitochondrion organization
YFL039C	ACT1	mitochondrion organization
YFL046W	FMP32	mitochondrion organization
YFR004W	RPN11	mitochondrion organization
YFR011C	MIC19	mitochondrion organization
YFR049W	YMR31	mitochondrion organization
YGL055W	OLE1	mitochondrion organization
YGL068W	MNP1	mitochondrion organization
YGL129C	RSM23	mitochondrion organization
YGL143C	MRF1	mitochondrion organization
YGL180W	ATG1	mitochondrion organization
YGL191W	COX13	mitochondrion organization
YGL219C	MDM34	mitochondrion organization
YGL236C	MTO1	mitochondrion organization
YGR028W	MSP1	mitochondrion organization
YGR029W	ERV1	mitochondrion organization
YGR033C	TIM21	mitochondrion organization
YGR062C	COX18	mitochondrion organization
YGR076C	MRPL25	mitochondrion organization
YGR082W	TOM20	mitochondrion organization
YGR084C	MRP13	mitochondrion organization
YGR101W	PCP1	mitochondrion organization
YGR112W	SHY1	mitochondrion organization
YGR132C	PHB1	mitochondrion organization
YGR144W	THI4	mitochondrion organization
YGR150C	CCM1	mitochondrion organization
YGR165W	MRPS35	mitochondrion organization
YGR174C	CBP4	mitochondrion organization
YGR181W	TIM13	mitochondrion organization
YGR183C	QCR9	mitochondrion organization
YGR215W	RSM27	mitochondrion organization
YGR220C	MRPL9	mitochondrion organization
YGR222W	PET54	mitochondrion organization
YGR231C	PHB2	mitochondrion organization
YGR235C	MIC26	mitochondrion organization
YHL004W	MRP4	mitochondrion organization
YHL021C	AIM17	mitochondrion organization
YHR005C-A	TIM10	mitochondrion organization
YHR011W	DIA4	mitochondrion organization
YHR024C	MAS2	mitochondrion organization
YHR031C	RRM3	mitochondrion organization
YHR038W	RRF1	mitochondrion organization
YHR070W	TRM5	mitochondrion organization
YHR075C	PPE1	mitochondrion organization
YHR083W	SAM35	mitochondrion organization
YHR091C	MSR1	mitochondrion organization
YHR116W	COX23	mitochondrion organization
YHR117W	TOM71	mitochondrion organization
YHR120W	MSH1	mitochondrion organization
YHR147C	MRPL6	mitochondrion organization
YHR171W	ATG7	mitochondrion organization
YHR189W	PTH1	mitochondrion organization
YHR194W	MDM31	mitochondrion organization
YIL022W	TIM44	mitochondrion organization
YIL051C	MMF1	mitochondrion organization
YIL062C	ARC15	mitochondrion organization
YIL065C	FIS1	mitochondrion organization
YIL070C	MAM33	mitochondrion organization
YIL093C	RSM25	mitochondrion organization
YIL098C	FMC1	mitochondrion organization
YIL138C	TPM2	mitochondrion organization
YIL146C	ATG32	mitochondrion organization
YIL157C	COA1	mitochondrion organization
YIL165C	YIL165C	mitochondrion organization
YIR004W	DJP1	mitochondrion organization
YIR024C	INA22	mitochondrion organization
YJL003W	COX16	mitochondrion organization
YJL036W	SNX4	mitochondrion organization
YJL054W	TIM54	mitochondrion organization
YJL062W-A	COA3	mitochondrion organization
YJL063C	MRPL8	mitochondrion organization
YJL096W	MRPL49	mitochondrion organization
YJL102W	MEF2	mitochondrion organization
YJL104W	PAM16	mitochondrion organization
YJL112W	MDV1	mitochondrion organization
YJL116C	NCA3	mitochondrion organization
YJL131C	AIM23	mitochondrion organization
YJL143W	TIM17	mitochondrion organization
YJL180C	ATP12	mitochondrion organization
YJR034W	PET191	mitochondrion organization
YJR045C	SSC1	mitochondrion organization
YJR065C	ARP3	mitochondrion organization
YJR080C	AIM24	mitochondrion organization
YJR100C	AIM25	mitochondrion organization
YJR101W	RSM26	mitochondrion organization
YJR113C	RSM7	mitochondrion organization
YJR118C	ILM1	mitochondrion organization
YJR120W	YJR120W	mitochondrion organization
YJR135W-A	TIM8	mitochondrion organization
YJR144W	MGM101	mitochondrion organization
YKL003C	MRP17	mitochondrion organization
YKL011C	CCE1	mitochondrion organization
YKL013C	ARC19	mitochondrion organization
YKL037W	AIM26	mitochondrion organization
YKL053C-A	MDM35	mitochondrion organization
YKL084W	HOT13	mitochondrion organization
YKL134C	OCT1	mitochondrion organization
YKL137W	CMC1	mitochondrion organization
YKL138C	MRPL31	mitochondrion organization
YKL141W	SDH3	mitochondrion organization
YKL155C	RSM22	mitochondrion organization
YKL166C	TPK3	mitochondrion organization
YKL167C	MRP49	mitochondrion organization
YKL170W	MRPL38	mitochondrion organization
YKL194C	MST1	mitochondrion organization
YKL195W	MIA40	mitochondrion organization
YKR006C	MRPL13	mitochondrion organization
YKR016W	MIC60	mitochondrion organization
YKR036C	CAF4	mitochondrion organization
YKR065C	PAM17	mitochondrion organization
YKR079C	TRZ1	mitochondrion organization
YKR085C	MRPL20	mitochondrion organization
YKR087C	OMA1	mitochondrion organization
YLL001W	DNM1	mitochondrion organization
YLL006W	MMM1	mitochondrion organization
YLL007C	LMO1	mitochondrion organization
YLL009C	COX17	mitochondrion organization
YLL013C	PUF3	mitochondrion organization
YLL018C-A	COX19	mitochondrion organization
YLL040C	VPS13	mitochondrion organization
YLL042C	ATG10	mitochondrion organization
YLR008C	PAM18	mitochondrion organization
YLR038C	COX12	mitochondrion organization
YLR059C	REX2	mitochondrion organization
YLR067C	PET309	mitochondrion organization
YLR069C	MEF1	mitochondrion organization
YLR077W	FMP25	mitochondrion organization
YLR090W	XDJ1	mitochondrion organization
YLR091W	GEP5	mitochondrion organization
YLR099W-A	MIM2	mitochondrion organization
YLR139C	SLS1	mitochondrion organization
YLR163C	MAS1	mitochondrion organization
YLR168C	UPS2	mitochondrion organization
YLR190W	MMR1	mitochondrion organization
YLR203C	MSS51	mitochondrion organization
YLR218C	COA4	mitochondrion organization
YLR253W	MCP2	mitochondrion organization
YLR259C	HSP60	mitochondrion organization
YLR295C	ATP14	mitochondrion organization
YLR304C	ACO1	mitochondrion organization
YLR305C	STT4	mitochondrion organization
YLR312W-A	MRPL15	mitochondrion organization
YLR355C	ILV5	mitochondrion organization
YLR356W	ATG33	mitochondrion organization
YLR368W	MDM30	mitochondrion organization
YLR370C	ARC18	mitochondrion organization
YLR382C	NAM2	mitochondrion organization
YLR393W	ATP10	mitochondrion organization
YLR422W	DCK1	mitochondrion organization
YLR423C	ATG17	mitochondrion organization
YLR439W	MRPL4	mitochondrion organization
YML009C	MRPL39	mitochondrion organization
YML025C	YML6	mitochondrion organization
YML030W	RCF1	mitochondrion organization
YML058W	SML1	mitochondrion organization
YML061C	PIF1	mitochondrion organization
YML081C-A	ATP18	mitochondrion organization
YML091C	RPM2	mitochondrion organization
YML104C	MDM1	mitochondrion organization
YML129C	COX14	mitochondrion organization
YMR023C	MSS1	mitochondrion organization
YMR024W	MRPL3	mitochondrion organization
YMR035W	IMP2	mitochondrion organization
YMR060C	SAM37	mitochondrion organization
YMR072W	ABF2	mitochondrion organization
YMR089C	YTA12	mitochondrion organization
YMR097C	MTG1	mitochondrion organization
YMR098C	ATP25	mitochondrion organization
YMR134W	ERG29	mitochondrion organization
YMR150C	IMP1	mitochondrion organization
YMR158W	MRPS8	mitochondrion organization
YMR159C	ATG16	mitochondrion organization
YMR188C	MRPS17	mitochondrion organization
YMR193W	MRPL24	mitochondrion organization
YMR203W	TOM40	mitochondrion organization
YMR211W	DML1	mitochondrion organization
YMR225C	MRPL44	mitochondrion organization
YMR241W	YHM2	mitochondrion organization
YMR244C-A	COA6	mitochondrion organization
YMR257C	PET111	mitochondrion organization
YMR275C	BUL1	mitochondrion organization
YMR282C	AEP2	mitochondrion organization
YMR286W	MRPL33	mitochondrion organization
YMR302C	YME2	mitochondrion organization
YNL005C	MRP7	mitochondrion organization
YNL026W	SAM50	mitochondrion organization
YNL055C	POR1	mitochondrion organization
YNL064C	YDJ1	mitochondrion organization
YNL066W	SUN4	mitochondrion organization
YNL070W	TOM7	mitochondrion organization
YNL073W	MSK1	mitochondrion organization
YNL079C	TPM1	mitochondrion organization
YNL081C	SWS2	mitochondrion organization
YNL100W	MIC27	mitochondrion organization
YNL121C	TOM70	mitochondrion organization
YNL122C	YNL122C	mitochondrion organization
YNL131W	TOM22	mitochondrion organization
YNL137C	NAM9	mitochondrion organization
YNL169C	PSD1	mitochondrion organization
YNL177C	MRPL22	mitochondrion organization
YNL185C	MRPL19	mitochondrion organization
YNL213C	RRG9	mitochondrion organization
YNL223W	ATG4	mitochondrion organization
YNL242W	ATG2	mitochondrion organization
YNL252C	MRPL17	mitochondrion organization
YNL284C	MRPL10	mitochondrion organization
YNL304W	YPT11	mitochondrion organization
YNL306W	MRPS18	mitochondrion organization
YNL310C	ZIM17	mitochondrion organization
YNL315C	ATP11	mitochondrion organization
YNL328C	MDJ2	mitochondrion organization
YNR007C	ATG3	mitochondrion organization
YNR017W	TIM23	mitochondrion organization
YNR018W	RCF2	mitochondrion organization
YNR020C	ATP23	mitochondrion organization
YNR022C	MRPL50	mitochondrion organization
YNR035C	ARC35	mitochondrion organization
YNR036C	MRPS12	mitochondrion organization
YNR037C	RSM19	mitochondrion organization
YNR045W	PET494	mitochondrion organization
YOL009C	MDM12	mitochondrion organization
YOL023W	IFM1	mitochondrion organization
YOL026C	MIM1	mitochondrion organization
YOL027C	MDM38	mitochondrion organization
YOL033W	MSE1	mitochondrion organization
YOL060C	MAM3	mitochondrion organization
YOL071W	SDH5	mitochondrion organization
YOL076W	MDM20	mitochondrion organization
YOL095C	HMI1	mitochondrion organization
YOL114C	PTH4	mitochondrion organization
YOR017W	PET127	mitochondrion organization
YOR019W	YOR019W	mitochondrion organization
YOR020C	HSP10	mitochondrion organization
YOR027W	STI1	mitochondrion organization
YOR037W	CYC2	mitochondrion organization
YOR043W	WHI2	mitochondrion organization
YOR045W	TOM6	mitochondrion organization
YOR147W	MDM32	mitochondrion organization
YOR150W	MRPL23	mitochondrion organization
YOR158W	PET123	mitochondrion organization
YOR187W	TUF1	mitochondrion organization
YOR211C	MGM1	mitochondrion organization
YOR228C	MCP1	mitochondrion organization
YOR232W	MGE1	mitochondrion organization
YOR266W	PNT1	mitochondrion organization
YOR297C	TIM18	mitochondrion organization
YOR326W	MYO2	mitochondrion organization
YOR330C	MIP1	mitochondrion organization
YOR335C	ALA1	mitochondrion organization
YPL005W	AEP3	mitochondrion organization
YPL013C	MRPS16	mitochondrion organization
YPL029W	SUV3	mitochondrion organization
YPL040C	ISM1	mitochondrion organization
YPL063W	TIM50	mitochondrion organization
YPL097W	MSY1	mitochondrion organization
YPL098C	MGR2	mitochondrion organization
YPL099C	INA17	mitochondrion organization
YPL100W	ATG21	mitochondrion organization
YPL104W	MSD1	mitochondrion organization
YPL118W	MRP51	mitochondrion organization
YPL149W	ATG5	mitochondrion organization
YPL166W	ATG29	mitochondrion organization
YPL173W	MRPL40	mitochondrion organization
YPL183W-A	RTC6	mitochondrion organization
YPL189C-A	COA2	mitochondrion organization
YPL215W	CBP3	mitochondrion organization
YPL218W	SAR1	mitochondrion organization
YPL240C	HSP82	mitochondrion organization
YPL250C	ATG41	mitochondrion organization
YPR020W	ATP20	mitochondrion organization
YPR024W	YME1	mitochondrion organization
YPR033C	HTS1	mitochondrion organization
YPR047W	MSF1	mitochondrion organization
YPR049C	ATG11	mitochondrion organization
YPR083W	MDM36	mitochondrion organization
YPR100W	MRPL51	mitochondrion organization
YPR116W	RRG8	mitochondrion organization
YPR125W	YLH47	mitochondrion organization
YPR131C	NAT3	mitochondrion organization
YPR133W-A	TOM5	mitochondrion organization
YPR140W	TAZ1	mitochondrion organization
YPR166C	MRP2	mitochondrion organization
YPR185W	ATG13	mitochondrion organization
tA(UGC)Q	tA(UGC)Q	mitochondrion organization
tC(GCA)Q	tC(GCA)Q	mitochondrion organization
tD(GUC)Q	tD(GUC)Q	mitochondrion organization
tE(UUC)Q	tE(UUC)Q	mitochondrion organization
tF(GAA)Q	tF(GAA)Q	mitochondrion organization
tG(UCC)Q	tG(UCC)Q	mitochondrion organization
tH(GUG)Q	tH(GUG)Q	mitochondrion organization
tI(GAU)Q	tI(GAU)Q	mitochondrion organization
tK(CUU)C	tK(CUU)C	mitochondrion organization
tK(CUU)D1	tK(CUU)D1	mitochondrion organization
tK(CUU)D2	tK(CUU)D2	mitochondrion organization
tK(CUU)E1	tK(CUU)E1	mitochondrion organization
tK(CUU)E2	tK(CUU)E2	mitochondrion organization
tK(CUU)F	tK(CUU)F	mitochondrion organization
tK(CUU)G1	tK(CUU)G1	mitochondrion organization
tK(CUU)G2	tK(CUU)G2	mitochondrion organization
tK(CUU)G3	tK(CUU)G3	mitochondrion organization
tK(CUU)I	tK(CUU)I	mitochondrion organization
tK(CUU)J	tK(CUU)J	mitochondrion organization
tK(CUU)K	tK(CUU)K	mitochondrion organization
tK(CUU)M	tK(CUU)M	mitochondrion organization
tK(CUU)P	tK(CUU)P	mitochondrion organization
tK(UUU)Q	tK(UUU)Q	mitochondrion organization
tL(UAA)Q	tL(UAA)Q	mitochondrion organization
tM(CAU)Q1	tM(CAU)Q1	mitochondrion organization
tM(CAU)Q2	tM(CAU)Q2	mitochondrion organization
tN(GUU)Q	tN(GUU)Q	mitochondrion organization
tP(UGG)Q	tP(UGG)Q	mitochondrion organization
tQ(CUG)M	CDC65	mitochondrion organization
tQ(UUG)Q	tQ(UUG)Q	mitochondrion organization
tR(ACG)Q2	tR(ACG)Q2	mitochondrion organization
tR(UCU)Q1	tR(UCU)Q1	mitochondrion organization
tS(GCU)Q1	tS(GCU)Q1	mitochondrion organization
tS(UGA)Q2	tS(UGA)Q2	mitochondrion organization
tT(UAG)Q2	tT(UAG)Q2	mitochondrion organization
tT(UGU)Q1	tT(UGU)Q1	mitochondrion organization
tV(UAC)Q	tV(UAC)Q	mitochondrion organization
tW(UCA)Q	tW(UCA)Q	mitochondrion organization
tY(GUA)Q	tY(GUA)Q	mitochondrion organization
Q0045	COX1	mitochondrial envelope
Q0080	ATP8	mitochondrial envelope
Q0085	ATP6	mitochondrial envelope
Q0105	COB	mitochondrial envelope
Q0130	OLI1	mitochondrial envelope
Q0250	COX2	mitochondrial envelope
Q0275	COX3	mitochondrial envelope
YAL008W	FUN14	mitochondrial envelope
YAL010C	MDM10	mitochondrial envelope
YAL039C	CYC3	mitochondrial envelope
YAL048C	GEM1	mitochondrial envelope
YAR008W	SEN34	mitochondrial envelope
YBL030C	PET9	mitochondrial envelope
YBL045C	COR1	mitochondrial envelope
YBL057C	PTH2	mitochondrial envelope
YBL059C-A	CMC2	mitochondrial envelope
YBL095W	MRX3	mitochondrial envelope
YBL098W	BNA4	mitochondrial envelope
YBL099W	ATP1	mitochondrial envelope
YBL107C	MIX23	mitochondrial envelope
YBR024W	SCO2	mitochondrial envelope
YBR035C	PDX3	mitochondrial envelope
YBR037C	SCO1	mitochondrial envelope
YBR039W	ATP3	mitochondrial envelope
YBR044C	TCM62	mitochondrial envelope
YBR056W	YBR056W	mitochondrial envelope
YBR085W	AAC3	mitochondrial envelope
YBR091C	TIM12	mitochondrial envelope
YBR170C	NPL4	mitochondrial envelope
YBR177C	EHT1	mitochondrial envelope
YBR179C	FZO1	mitochondrial envelope
YBR185C	MBA1	mitochondrial envelope
YBR230C	OM14	mitochondrial envelope
YBR238C	YBR238C	mitochondrial envelope
YBR244W	GPX2	mitochondrial envelope
YBR262C	MIC12	mitochondrial envelope
YBR265W	TSC10	mitochondrial envelope
YBR291C	CTP1	mitochondrial envelope
YCL044C	MGR1	mitochondrial envelope
YCL057C-A	MIC10	mitochondrial envelope
YCL057W	PRD1	mitochondrial envelope
YCR003W	MRPL32	mitochondrial envelope
YCR079W	PTC6	mitochondrial envelope
YDL004W	ATP16	mitochondrial envelope
YDL067C	COX9	mitochondrial envelope
YDL069C	CBS1	mitochondrial envelope
YDL107W	MSS2	mitochondrial envelope
YDL119C	HEM25	mitochondrial envelope
YDL126C	CDC48	mitochondrial envelope
YDL174C	DLD1	mitochondrial envelope
YDL183C	YDL183C	mitochondrial envelope
YDL198C	GGC1	mitochondrial envelope
YDL217C	TIM22	mitochondrial envelope
YDR031W	MIX14	mitochondrial envelope
YDR049W	VMS1	mitochondrial envelope
YDR079W	PET100	mitochondrial envelope
YDR119W-A	COX26	mitochondrial envelope
YDR155C	CPR1	mitochondrial envelope
YDR178W	SDH4	mitochondrial envelope
YDR185C	UPS3	mitochondrial envelope
YDR197W	CBS2	mitochondrial envelope
YDR204W	COQ4	mitochondrial envelope
YDR219C	MFB1	mitochondrial envelope
YDR226W	ADK1	mitochondrial envelope
YDR231C	COX20	mitochondrial envelope
YDR236C	FMN1	mitochondrial envelope
YDR282C	MRX10	mitochondrial envelope
YDR298C	ATP5	mitochondrial envelope
YDR316W	OMS1	mitochondrial envelope
YDR322C-A	TIM11	mitochondrial envelope
YDR350C	ATP22	mitochondrial envelope
YDR353W	TRR1	mitochondrial envelope
YDR375C	BCS1	mitochondrial envelope
YDR376W	ARH1	mitochondrial envelope
YDR377W	ATP17	mitochondrial envelope
YDR381C-A	YDR381C-A	mitochondrial envelope
YDR393W	SHE9	mitochondrial envelope
YDR430C	CYM1	mitochondrial envelope
YDR470C	UGO1	mitochondrial envelope
YDR487C	RIB3	mitochondrial envelope
YDR511W	SDH7	mitochondrial envelope
YDR529C	QCR7	mitochondrial envelope
YEL006W	YEA6	mitochondrial envelope
YEL020W-A	TIM9	mitochondrial envelope
YEL024W	RIP1	mitochondrial envelope
YEL039C	CYC7	mitochondrial envelope
YEL052W	AFG1	mitochondrial envelope
YEL059C-A	SOM1	mitochondrial envelope
YER004W	FMP52	mitochondrial envelope
YER014W	HEM14	mitochondrial envelope
YER017C	AFG3	mitochondrial envelope
YER019W	ISC1	mitochondrial envelope
YER026C	CHO1	mitochondrial envelope
YER031C	YPT31	mitochondrial envelope
YER048W-A	ISD11	mitochondrial envelope
YER057C	HMF1	mitochondrial envelope
YER078C	ICP55	mitochondrial envelope
YER141W	COX15	mitochondrial envelope
YER153C	PET122	mitochondrial envelope
YER154W	OXA1	mitochondrial envelope
YER170W	ADK2	mitochondrial envelope
YFL005W	SEC4	mitochondrial envelope
YFL016C	MDJ1	mitochondrial envelope
YFR011C	MIC19	mitochondrial envelope
YFR033C	QCR6	mitochondrial envelope
YFR045W	YFR045W	mitochondrial envelope
YGL080W	MPC1	mitochondrial envelope
YGL107C	RMD9	mitochondrial envelope
YGL119W	COQ8	mitochondrial envelope
YGL187C	COX4	mitochondrial envelope
YGL191W	COX13	mitochondrial envelope
YGL210W	YPT32	mitochondrial envelope
YGL219C	MDM34	mitochondrial envelope
YGR012W	MCY1	mitochondrial envelope
YGR028W	MSP1	mitochondrial envelope
YGR029W	ERV1	mitochondrial envelope
YGR033C	TIM21	mitochondrial envelope
YGR046W	TAM41	mitochondrial envelope
YGR049W	SCM4	mitochondrial envelope
YGR062C	COX18	mitochondrial envelope
YGR082W	TOM20	mitochondrial envelope
YGR086C	PIL1	mitochondrial envelope
YGR096W	TPC1	mitochondrial envelope
YGR101W	PCP1	mitochondrial envelope
YGR110W	CLD1	mitochondrial envelope
YGR112W	SHY1	mitochondrial envelope
YGR132C	PHB1	mitochondrial envelope
YGR174C	CBP4	mitochondrial envelope
YGR181W	TIM13	mitochondrial envelope
YGR183C	QCR9	mitochondrial envelope
YGR222W	PET54	mitochondrial envelope
YGR231C	PHB2	mitochondrial envelope
YGR235C	MIC26	mitochondrial envelope
YGR243W	MPC3	mitochondrial envelope
YGR255C	COQ6	mitochondrial envelope
YGR266W	YGR266W	mitochondrial envelope
YHR001W-A	QCR10	mitochondrial envelope
YHR002W	LEU5	mitochondrial envelope
YHR003C	TCD1	mitochondrial envelope
YHR005C-A	TIM10	mitochondrial envelope
YHR017W	YSC83	mitochondrial envelope
YHR042W	NCP1	mitochondrial envelope
YHR051W	COX6	mitochondrial envelope
YHR083W	SAM35	mitochondrial envelope
YHR117W	TOM71	mitochondrial envelope
YHR162W	MPC2	mitochondrial envelope
YHR168W	MTG2	mitochondrial envelope
