cluster	Gene_uniq	Gene.gene_name
transmembrane transport	YBR296C	PHO89
transmembrane transport_GO_30_2	YBR296C	PHO89
transmembrane transporter activity	YBR296C	PHO89
transmembrane transporter activity_GO_30_1	YBR296C	PHO89
all_queries	YBR297W	MAL33
all_queries_30_67	YBR297W	MAL33
carbohydrate metabolic process	YBR297W	MAL33
carbohydrate metabolic process_GO_30_1	YBR297W	MAL33
metabolic	YBR297W	MAL33
metabolic_GO_30_5	YBR297W	MAL33
nucleic acid binding transcription factor activity	YBR297W	MAL33
nucleic acid binding transcription factor activity_GO_30_1	YBR297W	MAL33
transcription	YBR297W	MAL33
transcription and mRNA processing	YBR297W	MAL33
transcription and mRNA processing_GO_30_10	YBR297W	MAL33
transcription_GO_30_1	YBR297W	MAL33
all_queries	YBR298C	MAL31
all_queries_30_39	YBR298C	MAL31
transmembrane transporter activity	YBR298C	MAL31
transmembrane transporter activity_GO_30_1	YBR298C	MAL31
all_queries	YBR299W	MAL32
all_queries_30_47	YBR299W	MAL32
carbohydrate metabolic process	YBR299W	MAL32
carbohydrate metabolic process_GO_30_2	YBR299W	MAL32
metabolic	YBR299W	MAL32
metabolic_GO_30_4	YBR299W	MAL32
all_queries	YBR301W	PAU24
all_queries_30_34	YBR301W	PAU24
cell wall	YBR301W	PAU24
cell wall_GO_30_1	YBR301W	PAU24
all_queries	YCL001W	RER1
all_queries_30_65	YCL001W	RER1
cytoplasmic vesicle	YCL001W	RER1
cytoplasmic vesicle_GO_30_2	YCL001W	RER1
endomembrane system	YCL001W	RER1
endomembrane system_GO_30_8	YCL001W	RER1
Golgi	YCL001W	RER1
Golgi and ER	YCL001W	RER1
Golgi and ER_GO_30_10	YCL001W	RER1
Golgi apparatus	YCL001W	RER1
Golgi apparatus_GO_30_2	YCL001W	RER1
Golgi vesicle transport	YCL001W	RER1
Golgi vesicle transport_GO_30_2	YCL001W	RER1
Golgi_GO_30_2	YCL001W	RER1
vacuole	YCL001W	RER1
vacuole_GO_30_7	YCL001W	RER1
vacuoles	YCL001W	RER1
vacuoles_GO_30_4	YCL001W	RER1
all_queries	YCL001W-A	YCL001W-A
all_queries_30_67	YCL001W-A	YCL001W-A
all_queries	YCL002C	YCL002C
all_queries_30_58	YCL002C	YCL002C
all_queries	YCL004W_DAMP	PGS1
all_queries_30_79	YCL004W_DAMP	PGS1
lipid metabolic process	YCL004W_DAMP	PGS1
lipid metabolic process_GO_30_2	YCL004W_DAMP	PGS1
lipids	YCL004W_DAMP	PGS1
lipids_GO_30_4	YCL004W_DAMP	PGS1
metabolic	YCL004W_DAMP	PGS1
metabolic_GO_30_2	YCL004W_DAMP	PGS1
mitochondria and respiration	YCL004W_DAMP	PGS1
mitochondria and respiration_GO_30_4	YCL004W_DAMP	PGS1
mitochondrion	YCL004W_DAMP	PGS1
mitochondrion_GO_30_4	YCL004W_DAMP	PGS1
all_queries	YCL005W-A	VMA9
all_queries_30_28	YCL005W-A	VMA9
cell wall organization or biogenesis	YCL005W-A	VMA9
cell wall organization or biogenesis_GO_30_3	YCL005W-A	VMA9
cellular ion homeostasis	YCL005W-A	VMA9
cellular ion homeostasis_GO_30_2	YCL005W-A	VMA9
transmembrane transport	YCL005W-A	VMA9
transmembrane transport_GO_30_1	YCL005W-A	VMA9
transmembrane transporter activity	YCL005W-A	VMA9
transmembrane transporter activity_GO_30_4	YCL005W-A	VMA9
vacuole	YCL005W-A	VMA9
vacuole_GO_30_7	YCL005W-A	VMA9
vacuoles	YCL005W-A	VMA9
vacuoles_GO_30_9	YCL005W-A	VMA9
all_queries	YCL008C	STP22
all_queries_30_10	YCL008C	STP22
cytoplasmic vesicle	YCL008C	STP22
cytoplasmic vesicle_GO_30_1	YCL008C	STP22
endomembrane system	YCL008C	STP22
endomembrane system_GO_30_4	YCL008C	STP22
endosomal transport	YCL008C	STP22
endosomal transport_GO_30_1	YCL008C	STP22
Golgi and ER	YCL008C	STP22
Golgi and ER_GO_30_1	YCL008C	STP22
ion transport	YCL008C	STP22
ion transport_GO_30_1	YCL008C	STP22
nucleobase-containing compound transport	YCL008C	STP22
nucleobase-containing compound transport_GO_30_1	YCL008C	STP22
protein modification by small protein conjugation or removal	YCL008C	STP22
protein modification by small protein conjugation or removal_GO_30_1	YCL008C	STP22
protein targeting	YCL008C	STP22
protein targeting_GO_30_2	YCL008C	STP22
proteolysis involved in cellular protein catabolic process	YCL008C	STP22
proteolysis involved in cellular protein catabolic process_GO_30_1	YCL008C	STP22
regulation of protein modification process	YCL008C	STP22
regulation of protein modification process_GO_30_1	YCL008C	STP22
all_queries	YCL009C	ILV6
all_queries_30_34	YCL009C	ILV6
cellular amino acid metabolic process	YCL009C	ILV6
cellular amino acid metabolic process_GO_30_1	YCL009C	ILV6
metabolic	YCL009C	ILV6
metabolic_GO_30_7	YCL009C	ILV6
mitochondria and respiration	YCL009C	ILV6
mitochondria and respiration_GO_30_15	YCL009C	ILV6
mitochondrion	YCL009C	ILV6
mitochondrion_GO_30_6	YCL009C	ILV6
all_queries	YCL010C	SGF29
all_queries_30_1	YCL010C	SGF29
chromatin	YCL010C	SGF29
chromatin organization	YCL010C	SGF29
chromatin organization_GO_30_4	YCL010C	SGF29
chromatin_GO_30_5	YCL010C	SGF29
histone modification	YCL010C	SGF29
histone modification_GO_30_1	YCL010C	SGF29
peptidyl-amino acid modification	YCL010C	SGF29
peptidyl-amino acid modification_GO_30_2	YCL010C	SGF29
transcription	YCL010C	SGF29
transcription and mRNA processing	YCL010C	SGF29
transcription and mRNA processing_GO_30_9	YCL010C	SGF29
transcription factor activity, protein binding	YCL010C	SGF29
transcription factor activity, protein binding_GO_30_1	YCL010C	SGF29
transcription from RNA polymerase II promoter	YCL010C	SGF29
transcription from RNA polymerase II promoter_GO_30_3	YCL010C	SGF29
transcription_GO_30_4	YCL010C	SGF29
all_queries	YCL011C	GBP2
all_queries_30_21	YCL011C	GBP2
chromatin	YCL011C	GBP2
chromatin_GO_30_1	YCL011C	GBP2
mRNA binding	YCL011C	GBP2
mRNA binding_GO_30_1	YCL011C	GBP2
nuclear transport	YCL011C	GBP2
nuclear transport and organization	YCL011C	GBP2
nuclear transport and organization_GO_30_3	YCL011C	GBP2
nuclear transport_GO_30_1	YCL011C	GBP2
nucleobase-containing compound transport	YCL011C	GBP2
nucleobase-containing compound transport_GO_30_1	YCL011C	GBP2
RNA catabolic process	YCL011C	GBP2
RNA catabolic process_GO_30_1	YCL011C	GBP2
telomere organization	YCL011C	GBP2
telomere organization_GO_30_1	YCL011C	GBP2
transcription and mRNA processing	YCL011C	GBP2
transcription and mRNA processing_GO_30_9	YCL011C	GBP2
all_queries	YCL014W	BUD3
all_queries_30_22	YCL014W	BUD3
budding	YCL014W	BUD3
budding_GO_30_3	YCL014W	BUD3
cell budding	YCL014W	BUD3
cell cortex	YCL014W	BUD3
cell cycle	YCL014W	BUD3
cell cycle_GO_30_3	YCL014W	BUD3
cellular bud	YCL014W	BUD3
cellular bud_GO_30_1	YCL014W	BUD3
cytokinesis	YCL014W	BUD3
cytoskeleton	YCL014W	BUD3
cytoskeleton and microtubules	YCL014W	BUD3
cytoskeleton and microtubules_GO_30_2	YCL014W	BUD3
cytoskeleton_GO_30_3	YCL014W	BUD3
mitotic cell cycle	YCL014W	BUD3
mitotic cell cycle_GO_30_1	YCL014W	BUD3
site of polarized growth	YCL014W	BUD3
site of polarized growth_GO_30_1	YCL014W	BUD3
all_queries	YCL016C	DCC1
all_queries_30_54	YCL016C	DCC1
budding	YCL016C	DCC1
budding_GO_30_9	YCL016C	DCC1
cell cycle	YCL016C	DCC1
cell cycle_GO_30_1	YCL016C	DCC1
cellular response to DNA damage stimulus	YCL016C	DCC1
cellular response to DNA damage stimulus_GO_30_1	YCL016C	DCC1
chromatin	YCL016C	DCC1
chromatin_GO_30_1	YCL016C	DCC1
chromosome	YCL016C	DCC1
chromosome segregation	YCL016C	DCC1
chromosome segregation_GO_30_2	YCL016C	DCC1
chromosome_GO_30_2	YCL016C	DCC1
cytoskeleton and microtubules	YCL016C	DCC1
cytoskeleton and microtubules_GO_30_8	YCL016C	DCC1
mitotic cell cycle	YCL016C	DCC1
mitotic cell cycle_GO_30_5	YCL016C	DCC1
organelle fission	YCL016C	DCC1
organelle fission_GO_30_1	YCL016C	DCC1
all_queries	YCL024W	KCC4
all_queries_30_79	YCL024W	KCC4
budding	YCL024W	KCC4
budding_GO_30_3	YCL024W	KCC4
cell budding	YCL024W	KCC4
cell budding_GO_30_1	YCL024W	KCC4
cell cortex	YCL024W	KCC4
cell cortex_GO_30_1	YCL024W	KCC4
cell cycle	YCL024W	KCC4
cell cycle_GO_30_10	YCL024W	KCC4
cellular bud	YCL024W	KCC4
cellular bud_GO_30_1	YCL024W	KCC4
cytoskeleton	YCL024W	KCC4
cytoskeleton and microtubules	YCL024W	KCC4
cytoskeleton and microtubules_GO_30_3	YCL024W	KCC4
cytoskeleton organization	YCL024W	KCC4
cytoskeleton organization_GO_30_2	YCL024W	KCC4
cytoskeleton_GO_30_4	YCL024W	KCC4
lipid binding	YCL024W	KCC4
lipid binding_GO_30_1	YCL024W	KCC4
lipids	YCL024W	KCC4
lipids_GO_30_8	YCL024W	KCC4
mitotic cell cycle	YCL024W	KCC4
mitotic cell cycle_GO_30_1	YCL024W	KCC4
organelle assembly	YCL024W	KCC4
organelle assembly_GO_30_1	YCL024W	KCC4
regulation of cell cycle	YCL024W	KCC4
regulation of cell cycle_GO_30_1	YCL024W	KCC4
site of polarized growth	YCL024W	KCC4
site of polarized growth_GO_30_2	YCL024W	KCC4
all_queries	YCL025C	AGP1
all_queries_30_89	YCL025C	AGP1
endomembrane system	YCL025C	AGP1
endomembrane system_GO_30_1	YCL025C	AGP1
endoplasmic reticulum	YCL025C	AGP1
endoplasmic reticulum_GO_30_6	YCL025C	AGP1
ER	YCL025C	AGP1
ER_GO_30_6	YCL025C	AGP1
Golgi and ER	YCL025C	AGP1
Golgi and ER_GO_30_9	YCL025C	AGP1
ion transport	YCL025C	AGP1
ion transport_GO_30_2	YCL025C	AGP1
transmembrane transport	YCL025C	AGP1
transmembrane transport_GO_30_3	YCL025C	AGP1
transmembrane transporter activity	YCL025C	AGP1
transmembrane transporter activity_GO_30_2	YCL025C	AGP1
all_queries	YCL026C-A	FRM2
all_queries_30_17	YCL026C-A	FRM2
lipid metabolic process	YCL026C-A	FRM2
lipid metabolic process_GO_30_6	YCL026C-A	FRM2
lipids	YCL026C-A	FRM2
lipids_GO_30_2	YCL026C-A	FRM2
metabolic	YCL026C-A	FRM2
metabolic_GO_30_13	YCL026C-A	FRM2
monocarboxylic acid metabolic process	YCL026C-A	FRM2
monocarboxylic acid metabolic process_GO_30_3	YCL026C-A	FRM2
response to oxidative stress	YCL026C-A	FRM2
response to oxidative stress_GO_30_1	YCL026C-A	FRM2
all_queries	YCL027W	FUS1
all_queries_30_39	YCL027W	FUS1
endomembrane system	YCL027W	FUS1
endomembrane system_GO_30_12	YCL027W	FUS1
endoplasmic reticulum	YCL027W	FUS1
endoplasmic reticulum_GO_30_1	YCL027W	FUS1
ER	YCL027W	FUS1
ER_GO_30_1	YCL027W	FUS1
Golgi and ER	YCL027W	FUS1
Golgi and ER_GO_30_5	YCL027W	FUS1
site of polarized growth	YCL027W	FUS1
site of polarized growth_GO_30_1	YCL027W	FUS1
all_queries	YCL028W	RNQ1
all_queries_30_37	YCL028W	RNQ1
all_queries	YCL029C	BIK1
all_queries_30_64	YCL029C	BIK1
budding	YCL029C	BIK1
budding_GO_30_8	YCL029C	BIK1
cell cortex	YCL029C	BIK1
cell cortex_GO_30_1	YCL029C	BIK1
cell cycle	YCL029C	BIK1
cell cycle_GO_30_6	YCL029C	BIK1
chromatin	YCL029C	BIK1
chromatin_GO_30_4	YCL029C	BIK1
chromosome	YCL029C	BIK1
chromosome segregation	YCL029C	BIK1
chromosome segregation_GO_30_1	YCL029C	BIK1
chromosome_GO_30_2	YCL029C	BIK1
cytoskeletal protein binding	YCL029C	BIK1
cytoskeleton	YCL029C	BIK1
cytoskeleton and microtubules	YCL029C	BIK1
cytoskeleton and microtubules_GO_30_1	YCL029C	BIK1
cytoskeleton organization	YCL029C	BIK1
cytoskeleton organization_GO_30_1	YCL029C	BIK1
cytoskeleton_GO_30_4	YCL029C	BIK1
microtubule organizing center	YCL029C	BIK1
mitotic cell cycle	YCL029C	BIK1
mitotic cell cycle_GO_30_4	YCL029C	BIK1
nuclear transport and organization	YCL029C	BIK1
nuclear transport and organization_GO_30_2	YCL029C	BIK1
organelle fission	YCL029C	BIK1
organelle fission_GO_30_1	YCL029C	BIK1
organelle fusion	YCL029C	BIK1
organelle fusion_GO_30_1	YCL029C	BIK1
regulation of organelle organization	YCL029C	BIK1
regulation of organelle organization_GO_30_1	YCL029C	BIK1
site of polarized growth	YCL029C	BIK1
site of polarized growth_GO_30_1	YCL029C	BIK1
all_queries	YCL032W	STE50
all_queries_30_27	YCL032W	STE50
response to heat	YCL032W	STE50
response to heat_GO_30_1	YCL032W	STE50
response to osmotic stress	YCL032W	STE50
response to osmotic stress_GO_30_2	YCL032W	STE50
all_queries	YCL033C	MXR2
all_queries_30_37	YCL033C	MXR2
mitochondria and respiration	YCL033C	MXR2
mitochondria and respiration_GO_30_1	YCL033C	MXR2
mitochondrion	YCL033C	MXR2
mitochondrion_GO_30_3	YCL033C	MXR2
response to oxidative stress	YCL033C	MXR2
response to oxidative stress_GO_30_2	YCL033C	MXR2
all_queries	YCL034W	LSB5
all_queries_30_53	YCL034W	LSB5
cell cortex	YCL034W	LSB5
cytoskeleton	YCL034W	LSB5
cytoskeleton and microtubules	YCL034W	LSB5
cytoskeleton and microtubules_GO_30_2	YCL034W	LSB5
cytoskeleton organization	YCL034W	LSB5
cytoskeleton organization_GO_30_1	YCL034W	LSB5
cytoskeleton_GO_30_3	YCL034W	LSB5
endocytosis	YCL034W	LSB5
endocytosis_GO_30_1	YCL034W	LSB5
Golgi and ER	YCL034W	LSB5
Golgi and ER_GO_30_5	YCL034W	LSB5
all_queries	YCL035C	GRX1
all_queries_30_23	YCL035C	GRX1
response to oxidative stress	YCL035C	GRX1
response to oxidative stress_GO_30_2	YCL035C	GRX1
all_queries	YCL036W	GFD2
all_queries_30_37	YCL036W	GFD2
all_queries	YCL037C	SRO9
all_queries_30_13	YCL037C	SRO9
cytoplasmic translation	YCL037C	SRO9
cytoplasmic translation_GO_30_1	YCL037C	SRO9
mRNA binding	YCL037C	SRO9
mRNA binding_GO_30_2	YCL037C	SRO9
ribosomes and translation	YCL037C	SRO9
ribosomes and translation_GO_30_6	YCL037C	SRO9
transcription and mRNA processing	YCL037C	SRO9
transcription and mRNA processing_GO_30_4	YCL037C	SRO9
all_queries	YCL038C	ATG22
all_queries_30_45	YCL038C	ATG22
ion transport	YCL038C	ATG22
ion transport_GO_30_3	YCL038C	ATG22
transmembrane transport	YCL038C	ATG22
transmembrane transport_GO_30_2	YCL038C	ATG22
vacuole	YCL038C	ATG22
vacuole_GO_30_4	YCL038C	ATG22
vacuoles	YCL038C	ATG22
vacuoles_GO_30_3	YCL038C	ATG22
all_queries	YCL039W	GID7
all_queries_30_26	YCL039W	GID7
carbohydrate metabolic process	YCL039W	GID7
carbohydrate metabolic process_GO_30_1	YCL039W	GID7
metabolic	YCL039W	GID7
metabolic_GO_30_2	YCL039W	GID7
proteolysis involved in cellular protein catabolic process	YCL039W	GID7
proteolysis involved in cellular protein catabolic process_GO_30_2	YCL039W	GID7
all_queries	YCL040W	GLK1
all_queries_30_60	YCL040W	GLK1
carbohydrate metabolic process	YCL040W	GLK1
carbohydrate metabolic process_GO_30_2	YCL040W	GLK1
cofactor metabolic process	YCL040W	GLK1
cofactor metabolic process_GO_30_1	YCL040W	GLK1
generation of precursor metabolites and energy	YCL040W	GLK1
generation of precursor metabolites and energy_GO_30_2	YCL040W	GLK1
metabolic	YCL040W	GLK1
metabolic_GO_30_3	YCL040W	GLK1
monocarboxylic acid metabolic process	YCL040W	GLK1
monocarboxylic acid metabolic process_GO_30_3	YCL040W	GLK1
nucleobase-containing small molecule metabolic process	YCL040W	GLK1
nucleobase-containing small molecule metabolic process_GO_30_2	YCL040W	GLK1
all_queries	YCL042W	YCL042W
all_queries_30_16	YCL042W	YCL042W
all_queries	YCL043C_DAmP	PDI1
all_queries_30_76	YCL043C_DAmP	PDI1
endomembrane system	YCL043C_DAmP	PDI1
endomembrane system_GO_30_8	YCL043C_DAmP	PDI1
endoplasmic reticulum	YCL043C_DAmP	PDI1
endoplasmic reticulum_GO_30_2	YCL043C_DAmP	PDI1
ER	YCL043C_DAmP	PDI1
ER_GO_30_2	YCL043C_DAmP	PDI1
Golgi and ER	YCL043C_DAmP	PDI1
Golgi and ER_GO_30_3	YCL043C_DAmP	PDI1
all_queries	YCL044C	MGR1
all_queries_30_73	YCL044C	MGR1
mitochondria and respiration	YCL044C	MGR1
mitochondria and respiration_GO_30_7	YCL044C	MGR1
mitochondrial envelope	YCL044C	MGR1
mitochondrial envelope_GO_30_3	YCL044C	MGR1
mitochondrion	YCL044C	MGR1
mitochondrion_GO_30_9	YCL044C	MGR1
proteolysis involved in cellular protein catabolic process	YCL044C	MGR1
proteolysis involved in cellular protein catabolic process_GO_30_1	YCL044C	MGR1
all_queries	YCL045C	EMC1
all_queries_30_71	YCL045C	EMC1
endomembrane system	YCL045C	EMC1
endomembrane system_GO_30_11	YCL045C	EMC1
endoplasmic reticulum	YCL045C	EMC1
endoplasmic reticulum_GO_30_12	YCL045C	EMC1
ER	YCL045C	EMC1
ER_GO_30_12	YCL045C	EMC1
Golgi and ER	YCL045C	EMC1
Golgi and ER_GO_30_13	YCL045C	EMC1
all_queries	YCL047C	POF1
all_queries_30_37	YCL047C	POF1
cofactor metabolic process	YCL047C	POF1
cofactor metabolic process_GO_30_1	YCL047C	POF1
invasive growth in response to glucose limitation	YCL047C	POF1
metabolic	YCL047C	POF1
metabolic_GO_30_3	YCL047C	POF1
nucleobase-containing small molecule metabolic process	YCL047C	POF1
nucleobase-containing small molecule metabolic process_GO_30_1	YCL047C	POF1
proteolysis involved in cellular protein catabolic process	YCL047C	POF1
proteolysis involved in cellular protein catabolic process_GO_30_1	YCL047C	POF1
pseudohyphal growth	YCL047C	POF1
all_queries	YCL048W	SPS22
all_queries_30_1	YCL048W	SPS22
budding	YCL048W	SPS22
budding_GO_30_7	YCL048W	SPS22
cell cycle	YCL048W	SPS22
cell cycle_GO_30_7	YCL048W	SPS22
cell wall organization or biogenesis	YCL048W	SPS22
cell wall organization or biogenesis_GO_30_1	YCL048W	SPS22
meiotic cell cycle	YCL048W	SPS22
meiotic cell cycle_GO_30_3	YCL048W	SPS22
sporulation	YCL048W	SPS22
sporulation_GO_30_1	YCL048W	SPS22
all_queries	YCL049C	YCL049C
all_queries_30_7	YCL049C	YCL049C
all_queries	YCL050C	APA1
all_queries_30_77	YCL050C	APA1
metabolic	YCL050C	APA1
metabolic_GO_30_13	YCL050C	APA1
nucleobase-containing small molecule metabolic process	YCL050C	APA1
nucleobase-containing small molecule metabolic process_GO_30_1	YCL050C	APA1
all_queries	YCL051W	LRE1
all_queries_30_9	YCL051W	LRE1
budding	YCL051W	LRE1
budding_GO_30_10	YCL051W	LRE1
cell wall organization or biogenesis	YCL051W	LRE1
cell wall organization or biogenesis_GO_30_1	YCL051W	LRE1
cellular bud	YCL051W	LRE1
cellular bud_GO_30_3	YCL051W	LRE1
regulation of protein modification process	YCL051W	LRE1
regulation of protein modification process_GO_30_1	YCL051W	LRE1
site of polarized growth	YCL051W	LRE1
site of polarized growth_GO_30_3	YCL051W	LRE1
all_queries	YCL055W	KAR4
all_queries_30_79	YCL055W	KAR4
budding	YCL055W	KAR4
cell cycle	YCL055W	KAR4
cell cycle_GO_30_6	YCL055W	KAR4
meiotic cell cycle	YCL055W	KAR4
meiotic cell cycle_GO_30_3	YCL055W	KAR4
nuclear transport and organization	YCL055W	KAR4
nuclear transport and organization_GO_30_3	YCL055W	KAR4
nucleic acid binding transcription factor activity	YCL055W	KAR4
nucleic acid binding transcription factor activity_GO_30_2	YCL055W	KAR4
organelle fission	YCL055W	KAR4
organelle fission_GO_30_2	YCL055W	KAR4
organelle fusion	YCL055W	KAR4
organelle fusion_GO_30_1	YCL055W	KAR4
transcription	YCL055W	KAR4
transcription and mRNA processing	YCL055W	KAR4
transcription and mRNA processing_GO_30_2	YCL055W	KAR4
transcription from RNA polymerase II promoter	YCL055W	KAR4
transcription from RNA polymerase II promoter_GO_30_5	YCL055W	KAR4
transcription_GO_30_3	YCL055W	KAR4
all_queries	YCL056C	PEX34
all_queries_30_37	YCL056C	PEX34
peroxisome	YCL056C	PEX34
peroxisome_GO_30_1	YCL056C	PEX34
peroxisomes	YCL056C	PEX34
peroxisomes_GO_30_1	YCL056C	PEX34
all_queries	YCL057W	PRD1
all_queries_30_35	YCL057W	PRD1
endomembrane system	YCL057W	PRD1
endomembrane system_GO_30_14	YCL057W	PRD1
Golgi	YCL057W	PRD1
Golgi and ER	YCL057W	PRD1
Golgi and ER_GO_30_4	YCL057W	PRD1
Golgi apparatus	YCL057W	PRD1
Golgi apparatus_GO_30_3	YCL057W	PRD1
Golgi_GO_30_3	YCL057W	PRD1
mitochondria and respiration	YCL057W	PRD1
mitochondria and respiration_GO_30_6	YCL057W	PRD1
mitochondrial envelope	YCL057W	PRD1
mitochondrial envelope_GO_30_3	YCL057W	PRD1
mitochondrion	YCL057W	PRD1
mitochondrion_GO_30_10	YCL057W	PRD1
vacuole	YCL057W	PRD1
vacuole_GO_30_2	YCL057W	PRD1
vacuoles	YCL057W	PRD1
vacuoles_GO_30_1	YCL057W	PRD1
all_queries	YCL061C	MRC1
all_queries_30_2	YCL061C	MRC1
budding	YCL061C	MRC1
budding_GO_30_5	YCL061C	MRC1
cell cycle	YCL061C	MRC1
cell cycle_GO_30_2	YCL061C	MRC1
cellular response to DNA damage stimulus	YCL061C	MRC1
cellular response to DNA damage stimulus_GO_30_2	YCL061C	MRC1
chromatin	YCL061C	MRC1
chromatin organization	YCL061C	MRC1
chromatin organization_GO_30_3	YCL061C	MRC1
chromatin_GO_30_5	YCL061C	MRC1
chromosome	YCL061C	MRC1
chromosome segregation	YCL061C	MRC1
chromosome segregation_GO_30_1	YCL061C	MRC1
chromosome_GO_30_1	YCL061C	MRC1
cytoskeleton and microtubules	YCL061C	MRC1
cytoskeleton and microtubules_GO_30_8	YCL061C	MRC1
DNA repair	YCL061C	MRC1
DNA repair_GO_30_1	YCL061C	MRC1
DNA replication	YCL061C	MRC1
DNA replication_GO_30_1	YCL061C	MRC1
metabolic	YCL061C	MRC1
metabolic_GO_30_4	YCL061C	MRC1
mitotic cell cycle	YCL061C	MRC1
mitotic cell cycle_GO_30_4	YCL061C	MRC1
organelle fission	YCL061C	MRC1
organelle fission_GO_30_4	YCL061C	MRC1
regulation of cell cycle	YCL061C	MRC1
regulation of cell cycle_GO_30_1	YCL061C	MRC1
regulation of DNA metabolic process	YCL061C	MRC1
regulation of DNA metabolic process_GO_30_1	YCL061C	MRC1
telomere organization	YCL061C	MRC1
telomere organization_GO_30_1	YCL061C	MRC1
all_queries	YCL063W	VAC17
all_queries_30_70	YCL063W	VAC17
organelle inheritance	YCL063W	VAC17
vacuole	YCL063W	VAC17
vacuole organization	YCL063W	VAC17
vacuole organization_GO_30_1	YCL063W	VAC17
vacuole_GO_30_7	YCL063W	VAC17
vacuoles	YCL063W	VAC17
vacuoles_GO_30_2	YCL063W	VAC17
all_queries	YCL064C	CHA1
all_queries_30_9	YCL064C	CHA1
cellular amino acid metabolic process	YCL064C	CHA1
cellular amino acid metabolic process_GO_30_2	YCL064C	CHA1
metabolic	YCL064C	CHA1
metabolic_GO_30_15	YCL064C	CHA1
mitochondria and respiration	YCL064C	CHA1
mitochondria and respiration_GO_30_12	YCL064C	CHA1
mitochondrion	YCL064C	CHA1
mitochondrion_GO_30_7	YCL064C	CHA1
all_queries	YCL069W	VBA3
all_queries_30_4	YCL069W	VBA3
endomembrane system	YCL069W	VBA3
endomembrane system_GO_30_11	YCL069W	VBA3
endoplasmic reticulum	YCL069W	VBA3
endoplasmic reticulum_GO_30_7	YCL069W	VBA3
ER	YCL069W	VBA3
ER_GO_30_7	YCL069W	VBA3
Golgi and ER	YCL069W	VBA3
Golgi and ER_GO_30_2	YCL069W	VBA3
ion transport	YCL069W	VBA3
ion transport_GO_30_3	YCL069W	VBA3
transmembrane transport	YCL069W	VBA3
transmembrane transport_GO_30_3	YCL069W	VBA3
transmembrane transporter activity	YCL069W	VBA3
transmembrane transporter activity_GO_30_2	YCL069W	VBA3
vacuole	YCL069W	VBA3
vacuole_GO_30_5	YCL069W	VBA3
vacuoles	YCL069W	VBA3
vacuoles_GO_30_8	YCL069W	VBA3
all_queries	YCL074W	YCL074W
all_queries_30_21	YCL074W	YCL074W
all_queries	YCL075W	YCL075W
all_queries_30_16	YCL075W	YCL075W
all_queries	YCR002C_TSQ84	CDC10
all_queries_30_25	YCR002C_TSQ84	CDC10
budding	YCR002C_TSQ84	CDC10
budding_GO_30_4	YCR002C_TSQ84	CDC10
cell cortex	YCR002C_TSQ84	CDC10
cell cortex_GO_30_1	YCR002C_TSQ84	CDC10
cell cycle	YCR002C_TSQ84	CDC10
cell cycle_GO_30_9	YCR002C_TSQ84	CDC10
cellular bud	YCR002C_TSQ84	CDC10
cellular bud_GO_30_2	YCR002C_TSQ84	CDC10
cytokinesis	YCR002C_TSQ84	CDC10
cytokinesis_GO_30_1	YCR002C_TSQ84	CDC10
cytoskeleton	YCR002C_TSQ84	CDC10
cytoskeleton and microtubules	YCR002C_TSQ84	CDC10
cytoskeleton and microtubules_GO_30_4	YCR002C_TSQ84	CDC10
cytoskeleton organization	YCR002C_TSQ84	CDC10
cytoskeleton organization_GO_30_1	YCR002C_TSQ84	CDC10
cytoskeleton_GO_30_1	YCR002C_TSQ84	CDC10
lipid binding	YCR002C_TSQ84	CDC10
lipid binding_GO_30_1	YCR002C_TSQ84	CDC10
lipids	YCR002C_TSQ84	CDC10
lipids_GO_30_3	YCR002C_TSQ84	CDC10
mitotic cell cycle	YCR002C_TSQ84	CDC10
mitotic cell cycle_GO_30_3	YCR002C_TSQ84	CDC10
organelle assembly	YCR002C_TSQ84	CDC10
organelle assembly_GO_30_1	YCR002C_TSQ84	CDC10
organelle fission	YCR002C_TSQ84	CDC10
organelle fission_GO_30_2	YCR002C_TSQ84	CDC10
site of polarized growth	YCR002C_TSQ84	CDC10
site of polarized growth_GO_30_4	YCR002C_TSQ84	CDC10
sporulation	YCR002C_TSQ84	CDC10
sporulation_GO_30_3	YCR002C_TSQ84	CDC10
all_queries	YCR005C	CIT2
all_queries_30_46	YCR005C	CIT2
carbohydrate metabolic process	YCR005C	CIT2
carbohydrate metabolic process_GO_30_2	YCR005C	CIT2
cellular amino acid metabolic process	YCR005C	CIT2
cellular amino acid metabolic process_GO_30_2	YCR005C	CIT2
metabolic	YCR005C	CIT2
metabolic_GO_30_11	YCR005C	CIT2
mitochondria and respiration	YCR005C	CIT2
mitochondria and respiration_GO_30_14	YCR005C	CIT2
mitochondrion	YCR005C	CIT2
mitochondrion_GO_30_1	YCR005C	CIT2
monocarboxylic acid metabolic process	YCR005C	CIT2
monocarboxylic acid metabolic process_GO_30_3	YCR005C	CIT2
peroxisome	YCR005C	CIT2
peroxisomes	YCR005C	CIT2
peroxisomes_GO_30_2	YCR005C	CIT2
all_queries	YCR007C	YCR007C
all_queries_30_55	YCR007C	YCR007C
vacuole	YCR007C	YCR007C
vacuole_GO_30_2	YCR007C	YCR007C
vacuoles	YCR007C	YCR007C
vacuoles_GO_30_6	YCR007C	YCR007C
all_queries	YCR008W	SAT4
