cluster	Gene_uniq	Gene.gene_name
chromosome	YPL029W	SUV3
chromosome	YPL121C	MEI5
chromosome	YPL127C	HHO1
chromosome	YPL139C	UME1
chromosome	YPL167C	REV3
chromosome	YPL181W	CTI6
chromosome	YPL194W	DDC1
chromosome	YPL200W	CSM4
chromosome	YPL203W	TPK2
chromosome	YPL204W_DAMP	HRR25
chromosome	YPL233W_TSQ450	NSL1
chromosome	YPL235W_DAMP	RVB2
chromosome	YPL269W	KAR9
chromosome	YPR007C	REC8
chromosome	YPR018W	RLF2
chromosome	YPR023C	EAF3
chromosome	YPR045C	THP3
chromosome	YPR046W	MCM16
chromosome	YPR065W	ROX1
chromosome	YPR135W	CTF4
chromosome	YPR179C	HDA3
nucleic acid binding transcription factor activity	YAL051W	OAF1
nucleic acid binding transcription factor activity	YBL005W	PDR3
nucleic acid binding transcription factor activity	YBL021C	HAP3
nucleic acid binding transcription factor activity	YBL103C	RTG3
nucleic acid binding transcription factor activity	YBR083W	TEC1
nucleic acid binding transcription factor activity	YBR123C_TSQ568	TFC1
nucleic acid binding transcription factor activity	YBR182C	SMP1
nucleic acid binding transcription factor activity	YBR198C_TSQ509	TAF5
nucleic acid binding transcription factor activity	YBR198C_TSQ512	TAF5
nucleic acid binding transcription factor activity	YBR239C	ERT1
nucleic acid binding transcription factor activity	YBR297W	MAL33
nucleic acid binding transcription factor activity	YCL055W	KAR4
nucleic acid binding transcription factor activity	YCR065W	HCM1
nucleic acid binding transcription factor activity	YDL020C	RPN4
nucleic acid binding transcription factor activity	YDL056W	MBP1
nucleic acid binding transcription factor activity	YDL106C	PHO2
nucleic acid binding transcription factor activity	YDL170W	UGA3
nucleic acid binding transcription factor activity	YDR043C	NRG1
nucleic acid binding transcription factor activity	YDR096W	GIS1
nucleic acid binding transcription factor activity	YDR123C	INO2
nucleic acid binding transcription factor activity	YDR145W_TSQ515	TAF12
nucleic acid binding transcription factor activity	YDR146C	SWI5
nucleic acid binding transcription factor activity	YDR207C	UME6
nucleic acid binding transcription factor activity	YDR213W	UPC2
nucleic acid binding transcription factor activity	YDR216W	ADR1
nucleic acid binding transcription factor activity	YDR253C	MET32
nucleic acid binding transcription factor activity	YDR259C	YAP6
nucleic acid binding transcription factor activity	YDR310C	SUM1
nucleic acid binding transcription factor activity	YDR421W	ARO80
nucleic acid binding transcription factor activity	YDR423C	CAD1
nucleic acid binding transcription factor activity	YDR463W	STP1
nucleic acid binding transcription factor activity	YER045C	ACA1
nucleic acid binding transcription factor activity	YER111C	SWI4
nucleic acid binding transcription factor activity	YER184C	TOG1
nucleic acid binding transcription factor activity	YFL021W	GAT1
nucleic acid binding transcription factor activity	YFL031W	HAC1
nucleic acid binding transcription factor activity	YFL052W	ZNF1
nucleic acid binding transcription factor activity	YFR034C	PHO4
nucleic acid binding transcription factor activity	YGL013C	PDR1
nucleic acid binding transcription factor activity	YGL035C	MIG1
nucleic acid binding transcription factor activity	YGL071W	AFT1
nucleic acid binding transcription factor activity	YGL112C_TSQ608	TAF6
nucleic acid binding transcription factor activity	YGL166W	CUP2
nucleic acid binding transcription factor activity	YGL209W	MIG2
nucleic acid binding transcription factor activity	YGL237C	HAP2
nucleic acid binding transcription factor activity	YGL254W	FZF1
nucleic acid binding transcription factor activity	YGR044C	RME1
nucleic acid binding transcription factor activity	YGR249W	MGA1
nucleic acid binding transcription factor activity	YGR274C_TSQ524	TAF1
nucleic acid binding transcription factor activity	YGR288W	MAL13
nucleic acid binding transcription factor activity	YHL009C	YAP3
nucleic acid binding transcription factor activity	YHL027W	RIM101
nucleic acid binding transcription factor activity	YHR006W	STP2
nucleic acid binding transcription factor activity	YHR124W	NDT80
nucleic acid binding transcription factor activity	YHR178W	STB5
nucleic acid binding transcription factor activity	YHR206W	SKN7
nucleic acid binding transcription factor activity	YIL036W	CST6
nucleic acid binding transcription factor activity	YIL056W	VHR1
nucleic acid binding transcription factor activity	YIL101C	XBP1
nucleic acid binding transcription factor activity	YIL131C	FKH1
nucleic acid binding transcription factor activity	YIR013C	GAT4
nucleic acid binding transcription factor activity	YIR018W	YAP5
nucleic acid binding transcription factor activity	YJL089W	SIP4
nucleic acid binding transcription factor activity	YJL103C	GSM1
nucleic acid binding transcription factor activity	YJL110C	GZF3
nucleic acid binding transcription factor activity	YJR060W	CBF1
nucleic acid binding transcription factor activity	YJR127C	RSF2
nucleic acid binding transcription factor activity	YKL015W	PUT3
nucleic acid binding transcription factor activity	YKL038W	RGT1
nucleic acid binding transcription factor activity	YKL043W	PHD1
nucleic acid binding transcription factor activity	YKL062W	MSN4
nucleic acid binding transcription factor activity	YKL109W	HAP4
nucleic acid binding transcription factor activity	YKL185W	ASH1
nucleic acid binding transcription factor activity	YKR034W	DAL80
nucleic acid binding transcription factor activity	YKR064W	OAF3
nucleic acid binding transcription factor activity	YKR099W	BAS1
nucleic acid binding transcription factor activity	YLL054C	YLL054C
nucleic acid binding transcription factor activity	YLR013W	GAT3
nucleic acid binding transcription factor activity	YLR014C	PPR1
nucleic acid binding transcription factor activity	YLR098C	CHA4
nucleic acid binding transcription factor activity	YLR131C	ACE2
nucleic acid binding transcription factor activity	YLR228C	ECM22
nucleic acid binding transcription factor activity	YLR266C	PDR8
nucleic acid binding transcription factor activity	YLR451W	LEU3
nucleic acid binding transcription factor activity	YML007W	YAP1
nucleic acid binding transcription factor activity	YML076C	WAR1
nucleic acid binding transcription factor activity	YML114C_TSQ695	TAF8
nucleic acid binding transcription factor activity	YMR016C	SOK2
nucleic acid binding transcription factor activity	YMR037C	MSN2
nucleic acid binding transcription factor activity	YMR042W	ARG80
nucleic acid binding transcription factor activity	YMR070W	MOT3
nucleic acid binding transcription factor activity	YMR136W	GAT2
nucleic acid binding transcription factor activity	YMR164C	MSS11
nucleic acid binding transcription factor activity	YMR172W	HOT1
nucleic acid binding transcription factor activity	YMR182C	RGM1
nucleic acid binding transcription factor activity	YMR227C_TSQ638	TAF7
nucleic acid binding transcription factor activity	YMR236W_TSQ730	TAF9
nucleic acid binding transcription factor activity	YMR280C	CAT8
nucleic acid binding transcription factor activity	YNL023C	FAP1
nucleic acid binding transcription factor activity	YNL027W	CRZ1
nucleic acid binding transcription factor activity	YNL216W_DAMP	RAP1
nucleic acid binding transcription factor activity	YNL314W	DAL82
nucleic acid binding transcription factor activity	YOL067C	RTG1
nucleic acid binding transcription factor activity	YOL108C	INO4
nucleic acid binding transcription factor activity	YOR032C	HMS1
nucleic acid binding transcription factor activity	YOR113W	AZF1
nucleic acid binding transcription factor activity	YOR140W	SFL1
nucleic acid binding transcription factor activity	YOR162C	YRR1
nucleic acid binding transcription factor activity	YOR172W	YRM1
nucleic acid binding transcription factor activity	YOR229W	WTM2
nucleic acid binding transcription factor activity	YOR344C	TYE7
nucleic acid binding transcription factor activity	YOR358W	HAP5
nucleic acid binding transcription factor activity	YOR363C	PIP2
nucleic acid binding transcription factor activity	YOR380W	RDR1
nucleic acid binding transcription factor activity	YPL038W	MET31
nucleic acid binding transcription factor activity	YPL048W	CAM1
nucleic acid binding transcription factor activity	YPL089C	RLM1
nucleic acid binding transcription factor activity	YPL133C	RDS2
nucleic acid binding transcription factor activity	YPL177C	CUP9
nucleic acid binding transcription factor activity	YPL202C	AFT2
nucleic acid binding transcription factor activity	YPL248C	GAL4
nucleic acid binding transcription factor activity	YPR008W	HAA1
nucleic acid binding transcription factor activity	YPR065W	ROX1
nucleic acid binding transcription factor activity	YPR199C	ARR1
transcription factor activity, protein binding	YBL008W	HIR1
transcription factor activity, protein binding	YBR083W	TEC1
transcription factor activity, protein binding	YBR112C	CYC8
transcription factor activity, protein binding	YBR112C_DAMP	CYC8
transcription factor activity, protein binding	YBR123C_TSQ568	TFC1
transcription factor activity, protein binding	YBR193C_TSQ741	MED8
transcription factor activity, protein binding	YCL010C	SGF29
transcription factor activity, protein binding	YDL005C	MED2
transcription factor activity, protein binding	YDL170W	UGA3
transcription factor activity, protein binding	YDR043C	NRG1
transcription factor activity, protein binding	YDR146C	SWI5
transcription factor activity, protein binding	YDR207C	UME6
transcription factor activity, protein binding	YDR216W	ADR1
transcription factor activity, protein binding	YDR223W	CRF1
transcription factor activity, protein binding	YDR253C	MET32
transcription factor activity, protein binding	YDR259C	YAP6
transcription factor activity, protein binding	YDR392W	SPT3
transcription factor activity, protein binding	YDR443C	SSN2
transcription factor activity, protein binding	YDR448W	ADA2
transcription factor activity, protein binding	YDR451C	YHP1
transcription factor activity, protein binding	YER022W_TSQ519	SRB4
transcription factor activity, protein binding	YFL021W	GAT1
transcription factor activity, protein binding	YGL043W	DST1
transcription factor activity, protein binding	YGL181W	GTS1
transcription factor activity, protein binding	YGL244W	RTF1
transcription factor activity, protein binding	YGL252C	RTG2
transcription factor activity, protein binding	YGR252W	GCN5
transcription factor activity, protein binding	YHL020C	OPI1
transcription factor activity, protein binding	YHR041C	SRB2
transcription factor activity, protein binding	YIL056W	VHR1
transcription factor activity, protein binding	YIL154C	IMP2'
transcription factor activity, protein binding	YIR023W	DAL81
transcription factor activity, protein binding	YJR060W	CBF1
transcription factor activity, protein binding	YJR094C	IME1
transcription factor activity, protein binding	YJR140C	HIR3
transcription factor activity, protein binding	YKL038W	RGT1
transcription factor activity, protein binding	YKL109W	HAP4
transcription factor activity, protein binding	YKR099W	BAS1
transcription factor activity, protein binding	YLR005W_TSQ752	SSL1
transcription factor activity, protein binding	YLR055C	SPT8
transcription factor activity, protein binding	YLR182W	SWI6
transcription factor activity, protein binding	YLR418C	CDC73
transcription factor activity, protein binding	YML027W	YOX1
transcription factor activity, protein binding	YML099C	ARG81
transcription factor activity, protein binding	YMR039C	SUB1
transcription factor activity, protein binding	YNL068C	FKH2
transcription factor activity, protein binding	YNL199C	GCR2
transcription factor activity, protein binding	YNL216W_DAMP	RAP1
transcription factor activity, protein binding	YNL229C	URE2
transcription factor activity, protein binding	YNL257C	SIP3
transcription factor activity, protein binding	YNL309W	STB1
transcription factor activity, protein binding	YNL330C	RPD3
transcription factor activity, protein binding	YNR009W	NRM1
transcription factor activity, protein binding	YNR010W	CSE2
transcription factor activity, protein binding	YOL004W	SIN3
transcription factor activity, protein binding	YOR038C	HIR2
transcription factor activity, protein binding	YOR083W	WHI5
transcription factor activity, protein binding	YOR123C	LEO1
transcription factor activity, protein binding	YOR140W	SFL1
transcription factor activity, protein binding	YOR229W	WTM2
transcription factor activity, protein binding	YOR230W	WTM1
transcription factor activity, protein binding	YOR298C-A	MBF1
transcription factor activity, protein binding	YPL038W	MET31
transcription factor activity, protein binding	YPL139C	UME1
transcription factor activity, protein binding	YPL177C	CUP9
transcription factor activity, protein binding	YPL248C	GAL4
transcription factor activity, protein binding	YPR065W	ROX1
cytoplasmic vesicle	YAL002W	VPS8
cytoplasmic vesicle	YAL007C	ERP2
cytoplasmic vesicle	YAL014C	SYN8
cytoplasmic vesicle	YAL030W	SNC1
cytoplasmic vesicle	YAL042W	ERV46
cytoplasmic vesicle	YAR002C-A	ERP1
cytoplasmic vesicle	YAR042W	SWH1
cytoplasmic vesicle	YBL010C	YBL010C
cytoplasmic vesicle	YBL037W	APL3
cytoplasmic vesicle	YBL069W	AST1
cytoplasmic vesicle	YBR023C	CHS3
cytoplasmic vesicle	YBR077C	SLM4
cytoplasmic vesicle	YBR105C	VID24
cytoplasmic vesicle	YBR131W	CCZ1
cytoplasmic vesicle	YBR210W	ERV15
cytoplasmic vesicle	YBR246W	RRT2
cytoplasmic vesicle	YCL001W	RER1
cytoplasmic vesicle	YCL008C	STP22
cytoplasmic vesicle	YCR075C	ERS1
cytoplasmic vesicle	YCR094W	CDC50
cytoplasmic vesicle	YDL058W_TSQ441	USO1
cytoplasmic vesicle	YDL091C	UBX3
cytoplasmic vesicle	YDL113C	ATG20
cytoplasmic vesicle	YDL145C_TSQ704	COP1
cytoplasmic vesicle	YDL149W	ATG9
cytoplasmic vesicle	YDL161W	ENT1
cytoplasmic vesicle	YDL226C	GCS1
cytoplasmic vesicle	YDL248W	COS7
cytoplasmic vesicle	YDR069C_DAMP	DOA4
cytoplasmic vesicle	YDR080W	VPS41
cytoplasmic vesicle	YDR100W	TVP15
cytoplasmic vesicle	YDR108W	TRS85
cytoplasmic vesicle	YDR153C	ENT5
cytoplasmic vesicle	YDR189W_TSQ251	SLY1
cytoplasmic vesicle	YDR270W	CCC2
cytoplasmic vesicle	YDR313C	PIB1
cytoplasmic vesicle	YDR425W	SNX41
cytoplasmic vesicle	YDR456W	NHX1
cytoplasmic vesicle	YDR472W_DAMP	TRS31
cytoplasmic vesicle	YDR495C	VPS3
cytoplasmic vesicle	YDR517W	GRH1
cytoplasmic vesicle	YDR524C	AGE1
cytoplasmic vesicle	YEL065W	SIT1
cytoplasmic vesicle	YER005W	YND1
cytoplasmic vesicle	YER031C	YPT31
cytoplasmic vesicle	YER113C	TMN3
cytoplasmic vesicle	YER125W_DAmP	RSP5
cytoplasmic vesicle	YER125W_TSQ465	RSP5
cytoplasmic vesicle	YER128W	VFA1
cytoplasmic vesicle	YFL014W	HSP12
cytoplasmic vesicle	YFL048C	EMP47
cytoplasmic vesicle	YFR019W	FAB1
cytoplasmic vesicle	YFR021W	ATG18
cytoplasmic vesicle	YFR051C_TSQ823	RET2
cytoplasmic vesicle	YGL054C	ERV14
cytoplasmic vesicle	YGL079W	KXD1
cytoplasmic vesicle	YGL083W	SCY1
cytoplasmic vesicle	YGL124C	MON1
cytoplasmic vesicle	YGL137W_TSQ546	SEC27
cytoplasmic vesicle	YGL200C	EMP24
cytoplasmic vesicle	YGL210W	YPT32
cytoplasmic vesicle	YGL263W	COS12
cytoplasmic vesicle	YGR142W	BTN2
cytoplasmic vesicle	YGR166W	TRS65
cytoplasmic vesicle	YGR167W	CLC1
cytoplasmic vesicle	YGR170W	PSD2
cytoplasmic vesicle	YGR206W	MVB12
cytoplasmic vesicle	YGR223C	HSV2
cytoplasmic vesicle	YGR247W	CPD1
cytoplasmic vesicle	YGR284C	ERV29
cytoplasmic vesicle	YHL002W	HSE1
cytoplasmic vesicle	YHL017W	YHL017W
cytoplasmic vesicle	YHL019C	APM2
cytoplasmic vesicle	YHL040C	ARN1
cytoplasmic vesicle	YHR009C	TDA3
cytoplasmic vesicle	YHR012W	VPS29
cytoplasmic vesicle	YHR050W	SMF2
cytoplasmic vesicle	YHR105W	YPT35
cytoplasmic vesicle	YHR181W	SVP26
cytoplasmic vesicle	YIL044C	AGE2
cytoplasmic vesicle	YIL048W_TSQ188	NEO1
cytoplasmic vesicle	YIL076W	SEC28
cytoplasmic vesicle	YIL173W	VTH1
cytoplasmic vesicle	YJL036W	SNX4
cytoplasmic vesicle	YJL044C	GYP6
cytoplasmic vesicle	YJL053W	PEP8
cytoplasmic vesicle	YJL084C	ALY2
cytoplasmic vesicle	YJL099W	CHS6
cytoplasmic vesicle	YJL123C	MTC1
cytoplasmic vesicle	YJL154C	VPS35
cytoplasmic vesicle	YJR005W	APL1
cytoplasmic vesicle	YJR031C	GEA1
cytoplasmic vesicle	YJR040W	GEF1
cytoplasmic vesicle	YJR044C	VPS55
cytoplasmic vesicle	YJR058C	APS2
cytoplasmic vesicle	YJR066W	TOR1
cytoplasmic vesicle	YJR102C	VPS25
cytoplasmic vesicle	YJR125C	ENT3
cytoplasmic vesicle	YJR134C	SGM1
cytoplasmic vesicle	YKL002W	DID4
cytoplasmic vesicle	YKL041W	VPS24
cytoplasmic vesicle	YKL061W	BLI1
cytoplasmic vesicle	YKL135C	APL2
cytoplasmic vesicle	YKR001C	VPS1
cytoplasmic vesicle	YKR007W	MEH1
cytoplasmic vesicle	YKR014C	YPT52
cytoplasmic vesicle	YKR020W	VPS51
cytoplasmic vesicle	YKR021W	ALY1
cytoplasmic vesicle	YKR027W	BCH2
cytoplasmic vesicle	YKR031C	SPO14
cytoplasmic vesicle	YKR035W-A	DID2
cytoplasmic vesicle	YKR039W	GAP1
cytoplasmic vesicle	YLL040C	VPS13
cytoplasmic vesicle	YLR073C	RFU1
cytoplasmic vesicle	YLR078C_TSQ199	BOS1
cytoplasmic vesicle	YLR080W	EMP46
cytoplasmic vesicle	YLR083C	EMP70
cytoplasmic vesicle	YLR119W	SRN2
cytoplasmic vesicle	YLR148W	PEP3
cytoplasmic vesicle	YLR170C	APS1
cytoplasmic vesicle	YLR181C	VTA1
cytoplasmic vesicle	YLR208W_TSQ55	SEC13
cytoplasmic vesicle	YLR268W	SEC22
cytoplasmic vesicle	YLR268W_TSQ121	SEC22
cytoplasmic vesicle	YLR330W	CHS5
cytoplasmic vesicle	YLR380W	CSR1
cytoplasmic vesicle	YLR396C	VPS33
cytoplasmic vesicle	YLR408C	BLS1
cytoplasmic vesicle	YLR417W	VPS36
cytoplasmic vesicle	YML012W	ERV25
cytoplasmic vesicle	YML037C	YML037C
cytoplasmic vesicle	YML038C	YMD8
cytoplasmic vesicle	YML067C	ERV41
cytoplasmic vesicle	YML121W	GTR1
cytoplasmic vesicle	YMR004W	MVP1
cytoplasmic vesicle	YMR054W	STV1
cytoplasmic vesicle	YMR071C	TVP18
cytoplasmic vesicle	YMR077C	VPS20
cytoplasmic vesicle	YMR110C	HFD1
cytoplasmic vesicle	YMR162C	DNF3
cytoplasmic vesicle	YMR171C	EAR1
cytoplasmic vesicle	YMR192W	GYL1
cytoplasmic vesicle	YMR237W	BCH1
cytoplasmic vesicle	YMR292W	GOT1
cytoplasmic vesicle	YMR307W	GAS1
cytoplasmic vesicle	YNL006W_TSQ467	LST8
cytoplasmic vesicle	YNL044W	YIP3
cytoplasmic vesicle	YNL049C	SFB2
cytoplasmic vesicle	YNL086W	SNN1
cytoplasmic vesicle	YNL093W	YPT53
cytoplasmic vesicle	YNL263C_DAMP	YIF1
cytoplasmic vesicle	YNL264C	PDR17
cytoplasmic vesicle	YNL293W	MSB3
cytoplasmic vesicle	YNL297C	MON2
cytoplasmic vesicle	YNR006W	VPS27
cytoplasmic vesicle	YNR075W	COS10
cytoplasmic vesicle	YOL018C	TLG2
cytoplasmic vesicle	YOL062C	APM4
cytoplasmic vesicle	YOL107W	YOL107W
cytoplasmic vesicle	YOL129W	VPS68
cytoplasmic vesicle	YOL137W	BSC6
cytoplasmic vesicle	YOR036W	PEP12
cytoplasmic vesicle	YOR069W	VPS5
cytoplasmic vesicle	YOR079C	ATX2
cytoplasmic vesicle	YOR089C	VPS21
cytoplasmic vesicle	YOR115C	TRS33
cytoplasmic vesicle	YOR132W	VPS17
cytoplasmic vesicle	YOR299W	BUD7
cytoplasmic vesicle	YOR322C	LDB19
cytoplasmic vesicle	YOR326W_TSQ337	MYO2
cytoplasmic vesicle	YOR327C	SNC2
cytoplasmic vesicle	YOR357C	SNX3
cytoplasmic vesicle	YPL002C	SNF8
cytoplasmic vesicle	YPL045W	VPS16
cytoplasmic vesicle	YPL065W	VPS28
cytoplasmic vesicle	YPL085W_TSQ119	SEC16
cytoplasmic vesicle	YPL100W	ATG21
cytoplasmic vesicle	YPL170W	DAP1
cytoplasmic vesicle	YPL183C	RTT10
cytoplasmic vesicle	YPL246C	RBD2
cytoplasmic vesicle	YPL249C	GYP5
cytoplasmic vesicle	YPL259C	APM1
cytoplasmic vesicle	YPR029C	APL4
cytoplasmic vesicle	YPR079W	MRL1
cytoplasmic vesicle	YPR173C	VPS4
endomembrane system	2_YLR350W	ORM2
endomembrane system	3_YGR038W	ORM1
endomembrane system	YAL002W	VPS8
endomembrane system	YAL007C	ERP2
endomembrane system	YAL010C	MDM10
endomembrane system	YAL014C	SYN8
endomembrane system	YAL023C	PMT2
endomembrane system	YAL028W	FRT2
endomembrane system	YAL030W	SNC1
endomembrane system	YAL042W	ERV46
endomembrane system	YAL048C	GEM1
endomembrane system	YAL053W	FLC2
endomembrane system	YAL058W	CNE1
endomembrane system	YAR002C-A	ERP1
endomembrane system	YAR002W	NUP60
endomembrane system	YAR027W	UIP3
endomembrane system	YAR031W	PRM9
endomembrane system	YAR042W	SWH1
endomembrane system	YBL011W	SCT1
endomembrane system	YBL017C	PEP1
endomembrane system	YBL035C_TSQ365	POL12
endomembrane system	YBL037W	APL3
endomembrane system	YBL069W	AST1
endomembrane system	YBL079W	NUP170
endomembrane system	YBL082C	ALG3
endomembrane system	YBL102W	SFT2
endomembrane system	YBR005W	RCR1
endomembrane system	YBR013C	YBR013C
endomembrane system	YBR014C	GRX7
endomembrane system	YBR015C	MNN2
endomembrane system	YBR023C	CHS3
endomembrane system	YBR036C	CSG2
endomembrane system	YBR041W	FAT1
endomembrane system	YBR054W	YRO2
endomembrane system	YBR068C	BAP2
endomembrane system	YBR069C	TAT1
endomembrane system	YBR077C	SLM4
endomembrane system	YBR078W	ECM33
endomembrane system	YBR080C_TSQ57	SEC18
endomembrane system	YBR086C	IST2
endomembrane system	YBR092C	PHO3
endomembrane system	YBR096W	YBR096W
endomembrane system	YBR110W_TSQ177	ALG1
endomembrane system	YBR111W-A	SUS1
endomembrane system	YBR131W	CCZ1
endomembrane system	YBR132C	AGP2
endomembrane system	YBR160W	CDC28
endomembrane system	YBR160W_TSQ175	CDC28
endomembrane system	YBR162W-A	YSY6
endomembrane system	YBR164C	ARL1
endomembrane system	YBR171W	SEC66
endomembrane system	YBR172C	SMY2
endomembrane system	YBR183W	YPC1
endomembrane system	YBR187W	GDT1
endomembrane system	YBR199W	KTR4
endomembrane system	YBR201W	DER1
endomembrane system	YBR204C	LDH1
endomembrane system	YBR207W	FTH1
endomembrane system	YBR210W	ERV15
endomembrane system	YBR229C	ROT2
endomembrane system	YBR246W	RRT2
endomembrane system	YBR265W_TSQ543	TSC10
endomembrane system	YBR273C	UBX7
endomembrane system	YBR283C	SSH1
endomembrane system	YBR287W	YBR287W
endomembrane system	YBR290W	BSD2
endomembrane system	YBR293W	VBA2
endomembrane system	YBR296C	PHO89
endomembrane system	YCL001W	RER1
endomembrane system	YCL008C	STP22
endomembrane system	YCL025C	AGP1
endomembrane system	YCL027W	FUS1
endomembrane system	YCL043C_DAmP	PDI1
endomembrane system	YCL045C	EMC1
endomembrane system	YCL057W	PRD1
endomembrane system	YCL069W	VBA3
endomembrane system	YCR011C	ADP1
endomembrane system	YCR017C	CWH43
endomembrane system	YCR021C	HSP30
endomembrane system	YCR034W	ELO2
endomembrane system	YCR043C	YCR043C
endomembrane system	YCR044C	PER1
endomembrane system	YCR045C	RRT12
endomembrane system	YCR048W	ARE1
endomembrane system	YCR067C	SED4
endomembrane system	YCR068W	ATG15
endomembrane system	YCR075C	ERS1
endomembrane system	YCR086W	CSM1
endomembrane system	YCR094W	CDC50
endomembrane system	YDL010W	GRX6
endomembrane system	YDL015C_DAMP	TSC13
endomembrane system	YDL018C	ERP3
endomembrane system	YDL019C	OSH2
endomembrane system	YDL027C	MRX9
endomembrane system	YDL052C	SLC1
endomembrane system	YDL058W_TSQ441	USO1
endomembrane system	YDL065C	PEX19
endomembrane system	YDL088C	ASM4
endomembrane system	YDL091C	UBX3
endomembrane system	YDL093W	PMT5
endomembrane system	YDL095W	PMT1
endomembrane system	YDL100C	GET3
endomembrane system	YDL113C	ATG20
endomembrane system	YDL121C	YDL121C
endomembrane system	YDL122W	UBP1
endomembrane system	YDL126C_TSQ208	CDC48
endomembrane system	YDL126C_TSQ209	CDC48
endomembrane system	YDL137W	ARF2
endomembrane system	YDL145C_TSQ704	COP1
endomembrane system	YDL161W	ENT1
endomembrane system	YDL192W	ARF1
endomembrane system	YDL204W	RTN2
endomembrane system	YDL212W_DAmP	SHR3
endomembrane system	YDL212W_DAMP	SHR3
endomembrane system	YDL226C	GCS1
endomembrane system	YDL241W	YDL241W
endomembrane system	YDL248W	COS7
endomembrane system	YDR018C	YDR018C
endomembrane system	YDR033W	MRH1
endomembrane system	YDR046C	BAP3
endomembrane system	YDR049W	VMS1
endomembrane system	YDR056C	YDR056C
endomembrane system	YDR057W	YOS9
endomembrane system	YDR062W_DAmP	LCB2
endomembrane system	YDR062W_DAMP	LCB2
endomembrane system	YDR069C_DAMP	DOA4
endomembrane system	YDR080W	VPS41
endomembrane system	YDR084C	TVP23
endomembrane system	YDR093W	DNF2
endomembrane system	YDR100W	TVP15
endomembrane system	YDR108W	TRS85
endomembrane system	YDR120C	TRM1
endomembrane system	YDR126W	SWF1
endomembrane system	YDR137W	RGP1
endomembrane system	YDR150W	NUM1
endomembrane system	YDR153C	ENT5
endomembrane system	YDR159W	SAC3
endomembrane system	YDR160W_DAMP	SSY1
endomembrane system	YDR182W_TSQ413	CDC1
endomembrane system	YDR189W_TSQ251	SLY1
endomembrane system	YDR192C	NUP42
endomembrane system	YDR196C_DAmP	CAB5
endomembrane system	YDR200C	VPS64
endomembrane system	YDR205W	MSC2
endomembrane system	YDR221W	GTB1
endomembrane system	YDR233C	RTN1
endomembrane system	YDR245W	MNN10
endomembrane system	YDR264C	AKR1
endomembrane system	YDR270W	CCC2
endomembrane system	YDR292C_DAMP	SRP101
endomembrane system	YDR294C	DPL1
endomembrane system	YDR297W	SUR2
endomembrane system	YDR304C	CPR5
endomembrane system	YDR307W	PMT7
endomembrane system	YDR313C	PIB1
endomembrane system	YDR326C	YSP2
endomembrane system	YDR329C	PEX3
endomembrane system	YDR331W_TSQ371	GPI8
endomembrane system	YDR349C	YPS7
endomembrane system	YDR351W	SBE2
endomembrane system	YDR358W	GGA1
endomembrane system	YDR372C	VPS74
endomembrane system	YDR411C	DFM1
endomembrane system	YDR424C	DYN2
endomembrane system	YDR425W	SNX41
endomembrane system	YDR456W	NHX1
endomembrane system	YDR458C	HEH2
endomembrane system	YDR472W_DAMP	TRS31
endomembrane system	YDR476C	YDR476C
endomembrane system	YDR477W	SNF1
endomembrane system	YDR479C	PEX29
endomembrane system	YDR492W	IZH1
endomembrane system	YDR495C	VPS3
endomembrane system	YDR504C	SPG3
endomembrane system	YDR508C	GNP1
endomembrane system	YDR517W	GRH1
endomembrane system	YDR518W	EUG1
endomembrane system	YDR519W	FPR2
endomembrane system	YDR524C	AGE1
endomembrane system	YEL002C_DAmP	WBP1
endomembrane system	YEL002C_TSQ581	WBP1
endomembrane system	YEL002C_TSQ590	WBP1
endomembrane system	YEL016C	NPP2
endomembrane system	YEL022W	GEA2
endomembrane system	YEL031W	SPF1
endomembrane system	YEL036C	ANP1
endomembrane system	YEL043W	YEL043W
endomembrane system	YEL065W	SIT1
endomembrane system	YER004W	FMP52
endomembrane system	YER005W	YND1
endomembrane system	YER019C-A	SBH2
endomembrane system	YER019W	ISC1
endomembrane system	YER027C	GAL83
endomembrane system	YER031C	YPT31
endomembrane system	YER053C-A	YER053C-A
endomembrane system	YER072W	VTC1
endomembrane system	YER083C	GET2
endomembrane system	YER087C-B	SBH1
endomembrane system	YER100W	UBC6
endomembrane system	YER105C	NUP157
endomembrane system	YER107C	GLE2
endomembrane system	YER110C_DAMP	KAP123
endomembrane system	YER113C	TMN3
endomembrane system	YER118C	SHO1
endomembrane system	YER120W	SCS2
endomembrane system	YER125W_DAmP	RSP5
endomembrane system	YER125W_TSQ465	RSP5
endomembrane system	YER128W	VFA1
endomembrane system	YER140W	EMP65
endomembrane system	YER157W_TSQ44	COG3
endomembrane system	YER166W	DNF1
endomembrane system	YFL004W	VTC2
endomembrane system	YFL014W	HSP12
endomembrane system	YFL025C	BST1
endomembrane system	YFL041W	FET5
endomembrane system	YFL042C	LAM5
endomembrane system	YFL048C	EMP47
endomembrane system	YFL055W	AGP3
endomembrane system	YFR002W_DAMP	NIC96
endomembrane system	YFR008W	FAR7
endomembrane system	YFR018C	YFR018C
endomembrane system	YFR019W	FAB1
endomembrane system	YFR020W	YFR020W
endomembrane system	YFR021W	ATG18
endomembrane system	YFR026C	ULI1
endomembrane system	YFR039C	OSW7
endomembrane system	YFR041C	ERJ5
endomembrane system	YFR048W	RMD8
